No,visitno,shop,info,info2,info3,add,lat,lng,color,url
1,1.2.13,大井川鐵道, 1 大鉄　ＳＬ乗車体験, 2 トーマス号に手を振ろう!!体験,13 超お得！大鉄ざんまい３日間フリーきっぷ,島田市金谷東2-1112-2,34.824029,138.139015,f73416,http://www.oi-river.com
2,2,大井川で逢いましょうプロジェクトチーム,トーマス号に手を振ろう!!体験,,,島田市金谷東2-1112-2,34.824029,138.139015,f73416,http://www.oi-river.com
3,3,食堂カフェ　樵,主人はきこり！　おしゃれジビエ体験,,,島田市横岡579-1,34.85686,138.11496,f73416,http://www.oi-river.com
4,4,島田市農産物加工体験施設やまゆり,伊久美でほのぼの蕎麦打ち体験,,,島田市伊久美5202,34.919349,138.125798,f73416,http://www.oi-river.com
5,5,おやじ農園,おやじと一緒に川根温泉塩づくり体験,,,島田市川根町身成2844,34.943521,138.087347,f73416,http://www.oi-river.com
6,6,農家民宿いつか,農家のいなか料理体験　,,,島田市川根町家山3434,34.959222,138.047171,f73416,http://www.oi-river.com
7,7,caf?・はっくる,千頭の新名物ジビエ丼体験,,,川根本町千頭1196-2,35.11012,138.13864,f73416,http://www.oi-river.com
8,8,やまめ平,伊久美の秘境でやまめ釣り＆BBQ体験,,,島田市笹間下1707,34.98488,138.16252,f73416,http://www.oi-river.com
9,9,食と遊びの三ツ星村,門松づくり体験＆地元名物｢大根そば｣を食べよう体験,,,川根本町下泉204-5,35.021448,138.09025,f73416,http://www.oi-river.com
10,10,お茶の郷,牧之原大茶園でお茶づくし体験,,,島田市金谷富士見町3053-2,34.814289,138.134548,f73416,http://www.oi-river.com
11,11,山村都市交流センター　ささま,11 ささまでピザ体験｢星★★★」,12 ｢YOU KNOW ME」で世界とお茶会体験,,島田市川根町笹間上394,35.0014,138.13708,f73416,http://www.oi-river.com
12,12,山村都市交流センター　ささま,｢YOU KNOW ME」で世界とお茶会体験,,,島田市川根町笹間上394,35.0014,138.13708,f73416,http://www.oi-river.com
13,13,大井川鐵道,超お得！大鉄ざんまい３日間フリーきっぷ,,,島田市金谷東2-1112-2,34.824029,138.139015,f73416,http://www.oi-river.com
14,14,赤石温泉白樺荘,大井川　7湯めぐり体験,,,葵区田代１１１０?５,35.30703,138.19649,9bcdcc,http://www.oi-river.com
15,14,接阻峡温泉会館,大井川　7湯めぐり体験,,,川根本町梅地175-2,35.18826,138.18025,9bcdcc,http://www.oi-river.com
16,14.17,寸又峡温泉,14 大井川　7湯めぐり体験,17 老舗旅館で大人の時間体験,,川根本町千頭２７９,35.17528,138.11772,9bcdcc,http://www.oi-river.com
17,14,白沢温泉,大井川　7湯めぐり体験,,,川根本町奥泉８４０?１,35.13485,138.15035,9bcdcc,http://www.oi-river.com
18,14,千頭温泉　　旬,大井川　7湯めぐり体験,,,川根本町東藤川669-1,35.11105,138.14192,9bcdcc,http://www.oi-river.com
19,14,川根温泉　ホテル,大井川　7湯めぐり体験,,,島田市川根町笹間渡195?1,34.95868,138.0909,9bcdcc,http://www.oi-river.com
20,14,田代の郷温泉　伊太和里の湯,大井川　7湯めぐり体験,,,島田市伊太88-1,34.87245,138.1555,9bcdcc,http://www.oi-river.com
21,14.16,川根温泉　ふれあいの泉,14 大井川　7湯めぐり体験,16 川根温泉ゆるゆるスパ気分体験,,島田市川根町笹間渡220,34.95988,138.08969,9bcdcc,http://www.oi-river.com
22,14,川根本町まちづくり観光協会,大井川　7湯めぐり体験,,,川根本町千頭1216-21,35.10864,138.13799,9bcdcc,http://www.oi-river.com
23,15,木漏れ日のリゾート　もりのくに,特製!!ジビエＢＢＱ体験9つのお風呂（温泉）付,,,川根本町奥泉840-1,35.13485,138.15035,9bcdcc,http://www.oi-river.com
24,16,川根温泉　ふれあいの泉,川根温泉ゆるゆるスパ気分体験,,,島田市川根町笹間渡220,34.95988,138.08969,9bcdcc,http://www.oi-river.com
25,17,寸又峡温泉　翠紅園,老舗旅館で大人の時間体験,,,川根本町千頭279,35.17528,138.11772,9bcdcc,http://www.oi-river.com
26,18,求夢荘,ひっそり美人づくり体験,,,川根本町千頭389-1,35.17597,138.11836,9bcdcc,http://www.oi-river.com
27,19,大久保グラススキー場,グラススキー＆マウンテンボード体験,,,藤枝市瀬戸ノ谷11021,34.96487,138.17955,fb9788,http://www.oi-river.com
28,20,藤枝市陶芸センター,電動ろくろで器づくり体験（２人１組）,,,藤枝市瀬戸ノ谷1706-1,34.93585,138.20356,fb9788,http://www.oi-river.com
29,21,葵サンプル,食品サンプルフルーツパフェ作り,,,焼津市祢宜島362-3,34.83936,138.30538,fb9788,http://www.oi-river.com
30,22.23,深海魚船　長兼丸,22 激レア　駿河湾深海生物ツアー体験,23 長谷川親分といく深海ザメ漁体験,,焼津市小川港（深海魚船長兼丸前）,34.846818,138.325648,166796,http://www.oi-river.com
31,23,深海魚船　長兼丸,長谷川親分といく深海ザメ漁体験,,,焼津市小川港（深海魚船長兼丸前）,34.846818,138.325648,166796,http://www.oi-river.com
32,24,荒磯,幻の魚クエを喰えー体験,,,御前崎市池新田5801-1,34.639225,138.132493,166796,http://www.oi-river.com
33,25,渚の交番,今注目のStand Up Paddle体験,,,御前崎市御前崎1565-2,34.595891,138.226893,166796,http://www.oi-river.com
